,SCO_AIN_ID_1,SCO_AIN_ID_2,SCO_CW_SUMMARY,SCO_CW_SUMMARY_2,SCO_CW_TEXT,SCO_CW_TITLE,SCO_DAYS,SCO_D_SUMMARY,SCO_D_SUMMARY_2,SCO_D_TEXT,SCO_D_TITLE,SCO_T_SUMMARY,SCO_T_SUMMARY_2,SCO_T_TEXT,SCO_T_TITLE,SCO_USER
0,161,20661,0,0,0,0,0,0.07482199275175232,0.3819486809679474,0.4567543181351207,0.3847227883420188,0.512713470499047,0.5858200897639813,0.7957416873369418,0.013862497042225946,0.0
1,172,9686,0,0,0,0,0,0.163891746686402,0.22994490068449266,0.2906293101270408,0.352797761637371,0.5236892782139595,0.41855985399384865,0.8040556342299949,0.5789325586594657,1.0
2,172,27081,0,0,1,0,0,0.1708795565596288,0.3248875625828853,0.3121905549860662,0.325879316112052,0.3541089681351871,0.43478860301276995,0.7272969153100475,0.3337934802584701,1.0
3,187,5931,0,0,0,0,3,0.5545256358161847,0.4435240025734446,0.2427163768530582,0.39397638932313617,0.0013959342182045184,-0.024439872549966993,0.019582671614057755,0.031071235011817484,0.0
4,198,6991,0,0,0,0,1,0.2538213459154016,0.24933299647166546,0.1715205310422768,0.3565912631428414,0.604853734061427,0.6310622734865919,0.6972941281576763,0.5136586943757575,0.0
5,202,17046,0,5,5,0,0,0.25448282596675575,0.3620923511528538,0.5077331982727233,0.3511172248493905,0.6019663065578054,0.8326875888931553,0.9261208962834531,0.651050341186169,1.0
6,204,8681,0,2,2,0,0,0.22997569751177233,0.2245465095897245,0.16877539000165714,0.29600358389236753,0.6246638896036973,0.6906199804938699,0.701593394229501,0.5586524414323841,0.0
7,204,43258,0,0,0,0,1,0.2687297681212957,0.322012994318369,0.19963987614154094,0.5147075424845521,0.6143051993782893,0.7128888492251617,0.7025447663963074,0.4149034307273274,0.0
8,205,5769,1,4,5,0,0,0.32473058028723656,0.310758227553142,0.35209109394617855,0.2168777976609191,0.652231964126478,0.6509443572658543,0.795318598618984,0.2159101660431691,1.0
9,213,20161,0,0,0,0,2,0.21556163911573412,0.2675022663355539,0.27136165242659177,0.2997972068318009,0.02770778085942256,0.05258554624356726,0.09056213431786414,-0.04076710749573427,0.0
10,268,4792,0,0,0,0,1,0.25080280790664683,0.3361477189489963,0.2973821277647279,0.10151244834715238,0.42188216439983706,0.664187973405189,0.7318652455099086,-0.006278364318512489,0.0
11,283,24679,0,0,0,0,0,0.2272120614311871,0.17600232487306638,0.2585305580913168,0.29017458131967905,0.1522175696359223,0.13470944266873794,0.2912208635012233,0.012996881572699473,0.0
12,305,44888,0,0,0,0,3,0.2529316111248662,0.26404383700933226,0.24415446715014702,0.39123412299260585,0.1321727411467149,0.19629716504886408,0.33769987258608836,0.006226760175135043,0.0
13,317,2419,1,1,1,1,0,0.26037936060297084,0.2231747776172123,0.2815254305560942,0.32617015229565494,0.6193169212738714,0.40287272782618555,0.5168614127702698,0.12385162372603638,0.5
