,SCO_AIN_ID_1,SCO_AIN_ID_2,SCO_CW_SUMMARY,SCO_CW_SUMMARY_2,SCO_CW_TEXT,SCO_CW_TITLE,SCO_DAYS,SCO_D_SUMMARY,SCO_D_SUMMARY_2,SCO_D_TEXT,SCO_D_TITLE,SCO_T_SUMMARY,SCO_T_SUMMARY_2,SCO_T_TEXT,SCO_T_TITLE,SCO_USER,SCO_PRED
0,166,31673,1,1,2,0,1,0.3140808177423261,0.2925321958246432,0.31536204606110474,0.35838895099582546,0.6624143801984788,0.7070316632126947,0.7498673318543267,0.6579397947144123,1.0,0.8380767107009888
1,172,27081,0,0,1,0,0,0.26032114705899795,0.3108697034786496,0.3478366425016812,0.19026856833855596,0.3403216271059606,0.4208995757180212,0.7298039977601412,0.3702000436125504,1.0,0.9901053309440613
2,204,43258,0,0,0,0,1,0.2307848623421762,0.2632856029306686,0.1750422483314299,0.5183246345435985,0.6162290207343137,0.7127353874865566,0.7014531325403803,0.3546082277174785,0.0,0.2725287675857544
3,250,29132,0,0,0,0,1,0.3124023015478801,0.387262726901805,0.3900173162841247,0.3188201589194114,0.5434268509923958,0.4834822921981848,0.4253747767300178,0.6043482554797999,0.5,0.6472095251083374
4,268,4792,0,0,0,0,1,0.2723758073017247,0.28721395900496305,0.25324462663715,0.3205278914312557,0.4218773249721097,0.6750739773509562,0.7391247220084722,0.0011848922987669765,0.0,0.5701772570610046
5,332,6905,2,6,6,1,0,0.2744450945526997,0.3332207874532171,0.38614956288855373,0.4432329005668437,0.19546904149328534,0.4973183169834789,0.6625270891033646,0.10857974649590756,1.0,0.9788352251052856
6,579,21162,0,0,0,0,0,0.22067357050467806,0.12196289707028465,0.1265737429199585,0.2060682684563572,0.10304726042267456,0.08798108433919273,0.1499469435447605,0.053346026190822654,0.0,0.00016510486602783203
7,659,2161,0,0,2,0,1,0.3536685266171373,0.2389671014130454,0.3692264994930984,-0.059547281051159966,0.894817058266119,0.8514835352468954,0.8663986818184671,0.5015186700951284,1.0,0.8381701707839966
8,660,30869,0,0,0,0,1,0.4426013437750169,0.28147955586319995,-0.01324966998530722,0.39578287315390265,-0.010521954213506823,0.04060933765699862,0.0859412503110084,0.016058063340111943,0.0,-0.022023499011993408
9,679,33056,0,0,0,0,2,0.1898725556248997,0.2333710019390984,0.2501267529651245,0.19141814757726566,0.1568935856894108,0.2128468262149793,0.19959613450952465,0.0037179302461504728,0.0,0.07275170087814331
10,697,19541,0,0,0,0,0,0.400368450823529,0.2768980312980365,0.399625416236411,0.4499001340413675,0.8092653069253379,0.8486571077028418,0.8701396585011827,0.8542735875483471,1.0,0.9790886044502258
11,721,5035,0,0,0,0,1,0.14403387525534864,0.1029368869151563,0.052839630225248936,0.2996186792587273,0.03811121634888233,0.11173827674157973,0.16347441467951387,0.023815502575499872,0.0,0.005859047174453735
12,728,12320,0,0,0,0,0,0.2203328827152812,0.23890067482469535,0.1802205463902476,0.3731002724790515,0.3804881595254753,0.5245879099157175,0.4909673505182894,0.2616168663302326,0.5,0.22652700543403625
13,732,26209,0,0,0,0,0,0.2950548701675534,0.2285712120997704,0.24914536059368586,0.2852224841525147,0.41212146763641744,0.7242690172266002,0.7811529306368652,0.03829281923347466,1.0,0.7122056484222412
14,748,20406,2,4,5,0,0,0.2920398381008211,0.3516313555725704,0.30199760044425616,0.3284766297058497,0.6890757100984177,0.799045337461746,0.7486938398846634,0.02378880852201235,1.0,0.9339778423309326
15,764,21162,0,0,0,0,0,0.0638866586242475,-0.015204652073104863,0.04317694858861251,0.2775571644016365,0.09277728848021033,0.14720225673115234,0.2503377545024519,0.07854291423939637,0.0,0.008901745080947876
16,792,5719,1,3,7,0,0,0.3847833157152981,0.35448010455966394,0.39873841837147533,0.32224510992783184,0.5606588625851877,0.7123324936834012,0.8498815699779009,0.7745595573286974,1.0,1.0187995433807373
17,914,6952,0,0,1,0,0,0.29799456611874553,0.39404073402207596,0.3377762646659387,0.2964178208429217,0.7005187906352572,0.7348387823874718,0.8026700052998119,0.7098168385894164,1.0,0.9203758239746094
18,914,39037,0,0,0,0,0,0.3127982942232215,0.3495169831926588,0.2156876712829798,0.439543271442439,0.6327425515226877,0.7855453893306776,0.8085163750081134,0.6068232607337848,1.0,0.6999967098236084
19,921,37104,0,0,0,0,1,0.2655658976111415,0.18588187514556792,0.07796612362599492,0.3634697697633894,0.18529612747127566,0.24307958806204905,0.3487741600450653,0.018606675243940714,0.0,0.022364646196365356
20,940,6364,3,10,11,1,0,0.281368134064073,0.31938365309979305,0.34878181314251683,0.2826341475652521,0.4432100065477072,0.4834532572863725,0.6025438193754862,0.27325456535700426,1.0,1.0280430316925049
21,973,27525,1,1,1,0,0,0.2954360990138162,0.2635116721858848,0.28500346259204234,0.07882168693914274,0.5237187111185282,0.5222508578782358,0.5475556322360833,0.09278115267563007,0.0,0.5075185894966125
22,984,4474,0,0,0,0,1,0.19483438908843487,0.2699520766752113,0.2537877967464086,0.2303137760253445,0.5779301991155544,0.6582176757694209,0.7125950286188497,0.6383115657278792,0.0,0.6525629162788391
23,989,17535,1,2,2,0,0,0.1358404802979246,0.2198662819292188,0.2904360203523105,0.1734777751884842,0.4167563925623407,0.4636898972893357,0.6384567100446794,0.20360253056510905,0.0,0.7207857370376587
24,1118,23390,0,0,0,0,0,0.34479380865424425,0.24947028454667536,0.2258774828805731,-0.040898275137714095,0.6123538016853844,0.5044079891563777,0.6015148938424917,0.7970961073995946,0.0,0.21124780178070068
25,1191,8432,0,2,3,0,0,0.3402065414724233,0.4829493755892921,0.4287371150896813,0.44895560189374895,0.705271465522523,0.8823288413018646,0.8909702208408248,0.5222146955065978,1.0,1.0081796646118164
26,1229,20586,0,0,0,0,1,0.037747096474303146,0.0936381364916832,0.0309143873603428,0.2796600611576293,0.026629526776592298,0.13575593583311024,0.1681034032610213,-0.012140565292076713,0.0,-0.00010001659393310547
27,1231,11960,0,0,0,0,0,0.3176843893367993,0.2128619585823357,0.17726992867017674,0.19854586812945485,0.018589466651824062,0.1552970944798853,0.19824207863413407,-0.013217752851684124,0.0,0.014315694570541382
28,1266,21091,0,0,0,0,1,0.230048566065006,0.08704489962784008,0.08549424222748582,0.021217767105417267,0.06889385190277156,0.11658690976149158,0.18707570060115056,0.13735490889728166,0.0,-0.018781185150146484
29,1271,13854,0,0,0,0,1,0.24252917947694316,0.23657070504545435,0.10465953319819167,0.09085913672137327,0.09251772274276374,0.048076550577280636,0.2160803498966763,0.020677094951048487,0.0,-0.018781185150146484
30,1315,13447,0,0,0,0,1,0.16245358739529372,0.1248996407946934,0.12315926151667032,0.2850041549877535,0.1855222353093562,0.4307544556041304,0.4728550083752761,0.029381319172468726,0.0,0.010374575853347778
31,1468,28256,0,0,0,0,0,0.3652409165141178,0.4002785223672517,0.28962330598240393,0.3703361061112642,0.7379648416969119,0.8116741551437869,0.7533573793936232,0.6500036105385821,1.0,0.7323935627937317
32,1490,20424,1,1,1,1,1,0.2600082081764892,0.2559205426253346,0.2060926015149772,0.22370477605664696,0.6066877166051341,0.5329171746892932,0.6878880188148541,0.08011681626187687,1.0,0.7601506114006042
33,1610,11646,0,0,0,0,0,0.12824694903830736,0.04550521933549408,0.09253268454104717,0.2588623509374482,0.22432358898862456,0.2962259094036284,0.3927439424293456,0.0329496961968902,0.0,0.008901745080947876
