,SCO_AIN_ID_1,SCO_AIN_ID_2,SCO_CW_SUMMARY,SCO_CW_SUMMARY_2,SCO_CW_TEXT,SCO_CW_TITLE,SCO_DAYS,SCO_D_SUMMARY,SCO_D_SUMMARY_2,SCO_D_TEXT,SCO_D_TITLE,SCO_T_SUMMARY,SCO_T_SUMMARY_2,SCO_T_TEXT,SCO_T_TITLE,SCO_USER,SCO_PRED
0,161,20661,0,0,0,0,0,0.07482199275175233,0.3819486809679474,0.4567543181351207,0.3847227883420188,0.512713470499047,0.5858200897639813,0.7957416873369418,0.013862497042225945,0.0,0.5906453132629395
1,172,9686,0,0,0,0,0,0.163891746686402,0.22994490068449264,0.2906293101270408,0.35279776163737103,0.5236892782139595,0.4185598539938487,0.8040556342299949,0.5789325586594657,1.0,0.7681193351745605
2,172,27081,0,0,1,0,0,0.1708795565596288,0.3248875625828853,0.3121905549860662,0.325879316112052,0.3541089681351871,0.43478860301277,0.7272969153100475,0.3337934802584701,1.0,0.776463508605957
3,187,5931,0,0,0,0,3,0.5545256358161847,0.4435240025734446,0.2427163768530582,0.39397638932313617,0.0013959342182045186,-0.024439872549966997,0.019582671614057755,0.03107123501181748,0.0,-0.023689687252044678
4,198,6991,0,0,0,0,1,0.2538213459154016,0.24933299647166546,0.1715205310422768,0.3565912631428414,0.604853734061427,0.6310622734865919,0.6972941281576763,0.5136586943757575,0.0,0.1367146074771881
5,202,17046,0,5,5,0,0,0.2544828259667557,0.3620923511528538,0.5077331982727233,0.3511172248493905,0.6019663065578054,0.8326875888931553,0.9261208962834532,0.6510503411861689,1.0,0.9981251955032349
6,204,8681,0,2,2,0,0,0.22997569751177235,0.2245465095897245,0.16877539000165714,0.29600358389236753,0.6246638896036973,0.6906199804938699,0.7015933942295011,0.5586524414323841,0.0,0.5165515542030334
7,204,43258,0,0,0,0,1,0.2687297681212957,0.32201299431836894,0.1996398761415409,0.5147075424845521,0.6143051993782893,0.7128888492251617,0.7025447663963074,0.4149034307273274,0.0,0.23300835490226746
8,205,5769,1,4,5,0,0,0.32473058028723656,0.310758227553142,0.3520910939461785,0.2168777976609191,0.6522319641264781,0.6509443572658543,0.795318598618984,0.2159101660431691,1.0,0.9979579448699951
9,213,20161,0,0,0,0,2,0.2155616391157341,0.2675022663355539,0.27136165242659177,0.2997972068318009,0.02770778085942256,0.05258554624356726,0.09056213431786414,-0.04076710749573427,0.0,-0.006194710731506348
10,268,4792,0,0,0,0,1,0.25080280790664683,0.3361477189489963,0.2973821277647279,0.10151244834715238,0.42188216439983706,0.664187973405189,0.7318652455099086,-0.006278364318512489,0.0,0.23851901292800903
11,283,24679,0,0,0,0,0,0.2272120614311871,0.17600232487306638,0.2585305580913168,0.29017458131967905,0.1522175696359223,0.13470944266873794,0.2912208635012233,0.012996881572699471,0.0,0.04687085747718811
12,305,44888,0,0,0,0,3,0.2529316111248662,0.26404383700933226,0.24415446715014705,0.39123412299260585,0.1321727411467149,0.19629716504886408,0.3376998725860884,0.006226760175135043,0.0,0.01769062876701355
13,317,2419,1,1,1,1,0,0.26037936060297084,0.2231747776172123,0.2815254305560942,0.3261701522956549,0.6193169212738714,0.4028727278261856,0.5168614127702698,0.12385162372603638,0.5,0.4081266522407532
14,330,15479,0,0,1,0,3,0.3439411796199926,0.2903698853137917,0.27642225383827856,0.603826496336473,0.4768132699775842,0.4868931668042953,0.7867693654791603,0.05418785203466955,0.0,0.3794667720794678
15,332,6905,2,6,6,1,0,0.2957808493819069,0.3424810267110716,0.42241381883533796,0.4726812406169678,0.19576102834671946,0.6131510242346705,0.6749417162524236,0.1191266314787689,1.0,1.026061773300171
16,370,28488,0,0,0,0,3,0.4166590393626607,0.3165800919871812,0.30304393423444986,0.31748556133705563,0.09754343107061204,0.18375222677097766,0.24583265674798646,0.04772096736548706,0.5,-0.061499834060668945
17,372,17763,0,0,0,0,3,0.5088627468406965,0.27545243662941626,0.3674174824023996,0.2307181070899237,0.3847200813764095,0.2882459516403733,0.3973619973442109,0.08995991220312682,0.0,0.13041898608207703
18,382,26030,0,3,4,0,0,0.42878125507964215,0.3672546835799628,0.3901104140426328,0.26257523034341057,0.7001346266631561,0.810440793790447,0.8416945078212931,0.7115894767957743,1.0,0.9974366426467896
19,391,14212,0,0,0,0,1,0.15972271623842518,0.3006820838001358,0.23846941856189685,0.4963855977394099,0.3368732339944461,0.3663452747786065,0.37976839308827226,0.0802800852119513,0.0,0.044835448265075684
20,393,39108,5,5,10,0,0,0.4813280865018582,0.5020668533420537,0.4720319726801349,0.27735352746077035,0.9083868826224466,0.933968804825238,0.9294846156891062,0.4533327521429573,1.0,0.9738481044769287
21,407,13621,0,0,0,0,0,0.3190018343991031,0.2630546637589065,0.2444124137439709,0.3045844431546277,0.6868646234865883,0.6739112089945863,0.7411194046400547,0.5989332796697764,0.5,0.5160582661628723
22,439,37192,0,0,0,0,0,0.3720280466881917,0.29110282972974433,0.20884105630854788,0.41726212701522175,0.6606677827158678,0.6781042970950637,0.7037743836374439,0.4204843013333197,0.0,0.29710185527801514
23,463,38638,1,6,7,0,0,0.34629582517971946,0.420170843013624,0.3979630943217104,0.32335604870018786,0.6863464412510789,0.7933366557678507,0.8306528340270699,0.4539274535237256,1.0,1.0064165592193604
24,464,9258,0,0,0,0,1,0.13903241588206972,0.25759638250904804,0.2961480184968555,0.4236860352662469,0.2926336112902322,0.30968453116690675,0.36215692270282096,0.006740346696154023,0.0,0.07307565212249756
25,516,814,0,0,0,0,0,0.2962516199279579,0.4300270565591573,0.2580832558931849,0.3505059127200745,0.3945133126489459,0.3797901351372985,0.2788424356970134,-0.014105291733050682,0.0,0.04937988519668579
26,516,19794,0,1,1,0,1,0.20833396443899266,0.2553267275006403,0.33605598742634524,0.38691395930372224,0.6409504741254276,0.7583774081496065,0.7953407735794314,0.6061508593515184,1.0,0.9461104869842529
27,516,39189,0,0,0,0,0,0.29983936432919983,0.218891798228401,0.14092068712205735,0.4459436838106157,0.6429920118836912,0.6948942718159865,0.7846499980841171,0.4186186304197803,0.0,0.2211931347846985
28,516,42757,0,0,0,0,2,0.23352726234593155,0.2748686232623284,0.3203152960294985,0.2692157439730284,0.5809706891997618,0.8162952422198337,0.7466932188665578,0.6677328644806464,0.0,0.44742998480796814
29,516,44587,0,0,0,0,2,0.260689617238693,0.32608821737313204,0.1977463703049014,0.28723372331836744,0.07778522503484997,0.4645161525758485,0.3648840127373698,0.042502143813026055,0.0,-0.03369539976119995
30,525,7579,0,0,0,0,1,0.2893837165033606,0.2797064939107749,0.326277577579133,0.2334164204594758,0.32839973734146244,0.5187643346634707,0.5052412932519028,0.2354588543217587,0.5,0.2897486090660095
31,579,15634,0,0,0,0,2,0.3460722872062517,0.27829455069457315,0.12388829513671287,0.3037080701991401,0.04636921706045837,0.3492268713335362,0.6929405296831608,-0.020029373120670886,0.0,0.017414957284927368
32,579,21162,0,0,0,0,0,0.16161738762087874,0.12881569265890566,0.1007284787432446,0.3347309334384331,0.11247047276259227,0.08572382554755563,0.146301170872834,0.031132601117360117,0.0,-0.012765824794769287
33,587,5692,0,0,0,0,1,0.2904651631291769,0.30237110394881617,0.2529425353522311,0.3614546893039467,0.3707829887092974,0.5532697305933378,0.4465387845591593,0.07049602974591253,0.0,0.055375516414642334
34,596,27414,0,0,0,0,0,0.28130532082169,0.3238935351993356,0.2217796606879298,0.5288627124950938,0.06321013331485381,0.07387836507710352,0.20018789934504605,0.009848884217006791,0.0,0.042825162410736084
35,621,31299,0,0,0,0,2,0.34145959888471017,0.2457663339000412,0.24993565083611285,0.3165148561028213,0.06960434422809078,0.12240316011464135,0.12505448628369298,0.002877948193949285,0.0,-0.013238966464996338
36,627,17116,0,0,0,0,2,0.4012730533700887,0.3330721870420571,0.2574070282828327,0.2530735286033156,0.3435655123891999,0.31946866002175617,0.5587445069492731,0.5996524152937245,0.0,0.08528491854667664
37,641,23402,1,3,3,1,0,0.3313392369253069,0.2969825043919159,0.4518288679750755,0.33644923475057864,0.4483311609765703,0.4908860007661922,0.6952021167678831,0.1089961371583541,1.0,1.0125064849853516
38,647,39997,0,0,0,0,0,0.046826364843721116,0.10967706659636496,0.11424502477915838,0.3215890186700877,0.1258856806133552,0.30578374568041944,0.3238634979570134,0.1094662096611684,0.0,-0.028042256832122803
39,657,16931,0,0,0,0,2,0.21384140875891366,0.24809028508551315,0.2505411567948114,0.4079535571910503,0.23767475519542894,0.2723388535055273,0.2907159432960751,0.02058956534305331,0.5,0.043008774518966675
40,659,2161,0,0,2,0,1,0.3276027940612796,0.33716443960314324,0.3714023794174535,0.20375768593505497,0.8922552281943154,0.8358600399133866,0.8656185381458275,0.489218155733657,1.0,0.9821941256523132
41,660,30869,0,0,0,0,1,0.3847285129639032,0.24417120336580564,0.027185859201299803,0.43511362634735,-0.010142636351343768,0.05504311331563543,0.08723997134694103,0.001212210177120053,0.0,0.004899948835372925
42,667,6351,0,0,1,0,1,0.21187281265823896,0.29437639409462635,0.2877231475756837,0.5067178180411203,0.638703613734197,0.6539496880138067,0.7380151392725568,0.6896924821417257,1.0,0.7716938257217407
43,697,19541,0,0,0,0,0,0.34789412873436,0.3418982562643913,0.3743415261269267,0.4717297766213812,0.8089382713733704,0.8475987827164273,0.8751715897818946,0.8524808054327776,1.0,0.9896224737167358
44,717,25849,4,7,7,3,0,0.32676396297098803,0.2842682783929974,0.29678850963562964,0.2746940357203421,0.5774500518587224,0.7069727468469745,0.7859239576376292,0.10361590378422274,1.0,0.9551985859870911
45,721,5035,0,0,0,0,1,0.17885505777082353,0.11514656045408485,0.06226884829522138,0.3772153904898432,0.0486689156755338,0.11050204157489447,0.16914603007515666,0.02066015076890925,0.0,-0.001115560531616211
46,728,12320,0,0,0,0,0,0.26966651064242875,0.23637034682263264,0.20310362502111007,0.4081454904671434,0.3851801756788255,0.5360555772479583,0.5006894699175485,0.2904901332386567,0.5,0.06969371438026428
47,729,13754,0,0,0,0,1,0.27518997992177663,0.2513104115494762,0.2478108059790849,0.2113433943300224,0.2419031129450667,0.2421104465287505,0.2736069466698082,0.0931635042258051,0.0,0.10397881269454956
48,732,26209,0,0,0,0,0,0.2530974252687569,0.30633877719646474,0.2430164392992776,0.4150780381965574,0.4595900215249904,0.7377008131795733,0.7925177278451937,0.03783814497656721,1.0,0.5745713710784912
49,748,20406,2,4,5,0,0,0.2833248756600376,0.30075629418159244,0.32041390206054665,0.2177425894057761,0.7433219342287363,0.7353878690920777,0.7327600172450264,0.032527019850848785,1.0,0.9589552879333496
50,755,31015,0,0,0,0,2,0.2426565497081201,0.2305128582094388,0.3009947638585633,0.13461044086067814,0.238858091257684,0.3453066875658457,0.3272540353167589,0.040582215006805186,0.0,0.02354082465171814
51,764,21162,0,0,0,0,0,0.022819325534264426,0.017944428894662516,0.041770081951148515,0.4444213894116671,0.07326029606339371,0.1351652859240107,0.23805000023084216,0.033520687370435835,0.0,-0.005988597869873047
52,767,13766,2,4,5,0,0,0.3287195113322269,0.37611466090766776,0.3726595084850126,0.34510873933351216,0.5842623912164372,0.7640665197933265,0.7684401131595424,0.3054639903969001,1.0,1.0112565755844116
53,767,43636,0,1,5,0,0,0.1558612956988653,0.3288162833840206,0.34442649193659525,0.3285177200939244,0.6712050931757825,0.7206394663344813,0.7560492155924441,0.21232659340418725,0.5,0.907413125038147
54,809,18588,0,0,0,0,1,0.2520607504166833,0.20032154248024825,0.23820865947573244,0.5218368179182358,-0.0021177631283029984,0.03796561810021573,0.08960580367206042,-0.03578186872273092,0.0,0.012029439210891724
55,839,22883,0,0,0,0,3,0.1949902045339752,0.3514591708266141,0.29520390613033604,0.5229101702267646,0.6716398687964642,0.6668900739427235,0.5678145603891575,0.002077052910068492,0.0,0.06530201435089111
