,SCO_DAYS,SCO_D_SUMMARY,SCO_D_TEXT,SCO_D_TITLE,SCO_T_SUMMARY,SCO_T_TEXT,SCO_T_TITLE,SCO_USER
0,0,0.5010304466347966,0.5179114660295552,0.49511532578039474,0.8286580225333149,0.800452493450564,0.00843328594941016,0.0
1,0,0.2820531807243975,0.3360289085040437,0.406552280521282,0.773628834251264,0.798790752307301,0.5820814119436967,1.0
2,0,0.36266839348401897,0.3484736295977647,0.14095306671086477,0.7195684408855293,0.7321336353513138,0.34999531331926187,1.0
3,3,0.36651095333380257,0.22432135042461548,0.2937084081104806,0.03351507280242746,0.031027262410114477,0.015724482524773868,0.0
4,0,0.4945867803789566,0.5237332207769912,0.3428233763516883,0.917939844840214,0.9300922447205984,0.6513388610513303,1.0
5,0,0.2070552625519515,0.14996156638026806,0.3405136185619757,0.6908529179858252,0.6927817862788292,0.6316992099330753,0.0
6,1,0.22258417114948975,0.17203224352376226,0.4030921460287819,0.7130826159029139,0.7094939593042229,0.4367936333294971,0.0
7,2,0.23816571453325822,0.25287623504277434,0.2579581094828349,0.11374025187543495,0.10156381863572422,-0.040020546015360946,0.0
8,1,0.3308071838098352,0.27833097042768146,0.1202647273221511,0.7350571968888259,0.7306413991594448,-0.018435102163885907,0.0
9,0,0.28226850555853705,0.2977909552269064,0.2800184291849986,0.2973228812665565,0.2753425702324533,0.02578426720105945,0.0
10,3,0.2287845366119815,0.2134510976640498,0.2008135216032031,0.3612582741676145,0.3366679966578475,0.005251661630143577,0.0
11,0,0.25382076496521483,0.3021555879221632,0.32498453975440805,0.5024100631268144,0.5200390280208439,0.1184475300501504,0.5
12,3,0.2949922223735969,0.22668414579828788,0.28165343524655045,0.7698267060921317,0.7672716175775532,0.05250170726414665,0.0
13,0,0.4225285091655921,0.3910529457970619,0.3369999842452729,0.6956198546372805,0.6777348949044002,0.12289149570604078,1.0
14,3,0.3587848817461771,0.3286720976088972,0.3766833590291746,0.2006286994461306,0.2016990033143832,0.0012647269694436645,0.5
15,3,0.2305164498304107,0.3797856286110169,0.18906164019438934,0.436457051508418,0.3892893297010429,0.10363740628840713,0.0
16,0,0.39782247763093415,0.4051183631632314,0.5266501736754045,0.780907588071392,0.8369117373283831,0.7037219916171922,1.0
